"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"chrome","1","457","3513422057472","222498816","213622784","33464","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=63 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1775095726279 --field-trial-handle=4680,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=7556 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","101.609375","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3652","8",,"False","9/11/2024 7:06:58 AM",,"19752",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","33464","33464","213622784","213622784","811784","811784","400338944","400338944","439734272","439734272","3513474543616","191295488","True","Normal","213622784","213622784","255","1",,"System.Diagnostics.ProcessThreadCollection","457","3513422057472","138809344","False",,,,"222498816","222498816",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:04.6250000","00:01:41.6093750","00:01:36.9843750","chrome","0","","True",,
"chrome","1","2226","2307821441024","249294848","140226560","78160","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" ",,"Google LLC","528.046875","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3680","8",,"False","9/11/2024 6:54:11 AM",,"19976",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","78160","78160","140226560","140226560","1409408","1409408","149970944","149970944","268816384","268816384","2308127006720","1729568768","True","Normal","140226560","140226560","255","1",,"System.Diagnostics.ProcessThreadCollection","2226","2307821441024","1424003072","False",,,,"249294848","249294848",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:25.2343750","00:08:48.0468750","00:08:22.8125000","chrome","3607734","ChatGPT - Google Chrome","True",,
"chrome","1","242","3513273729024","30261248","17821696","19656","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=152 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1787090672263 --field-trial-handle=8216,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=9996 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.09375","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3780","4",,"False","9/11/2024 10:26:53 AM",,"21176",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19656","19656","17821696","17821696","655424","655424","19238912","19238912","31309824","31309824","3513278193664","-5054464","True","Idle","17821696","17821696","255","1",,"System.Diagnostics.ProcessThreadCollection","242","3513273729024","-9519104","False",,,,"30261248","30261248",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0468750","00:00:00.0937500","00:00:00.0468750","chrome","0","","True",,
"chrome","1","300","3513328656384","49012736","23547904","22648","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=73 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1776071077911 --field-trial-handle=4540,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=7888 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.171875","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4796","4",,"False","9/11/2024 7:23:13 AM",,"23140",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22648","22648","23547904","23547904","647792","647792","26120192","26120192","56086528","56086528","3513345433600","62185472","True","Idle","23547904","23547904","255","1",,"System.Diagnostics.ProcessThreadCollection","300","3513328656384","45408256","False",,,,"49012736","49012736",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00","00:00:00.1718750","00:00:00.1718750","chrome","0","","True",,
"chrome","1","490","3517297524736","267046912","240238592","39352","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=106 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1780557715469 --field-trial-handle=8544,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=8464 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","24.03125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4748","4",,"False","9/11/2024 8:38:00 AM",,"23900",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","39352","39352","240238592","240238592","692864","692864","413855744","413855744","471105536","471105536","3519261564928","1683349504","True","Idle","240238592","240238592","255","1",,"System.Diagnostics.ProcessThreadCollection","490","3517297524736","-280690688","False",,,,"267046912","267046912",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:01.1718750","00:00:24.0312500","00:00:22.8593750","chrome","0","","True",,
"chrome","1","493","2307100418048","58753024","30658560","49928","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-subproc-heap-profiling --field-trial-handle=1544,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=2252 /prefetch:11","System.Diagnostics.Process (chrome)","Google LLC","20.25","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1256","8",,"False","9/11/2024 6:54:12 AM",,"24216",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","49928","49928","30658560","30658560","707064","707064","43106304","43106304","75575296","75575296","2307182936064","785498112","True","Normal","30658560","30658560","255","1",,"System.Diagnostics.ProcessThreadCollection","493","2307100418048","702980096","False",,,,"58753024","58753024",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:06.2187500","00:00:20.2500000","00:00:14.0312500","chrome","0","","True",,
"chrome","1","380","3515332038656","125808640","74043392","30040","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=147 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1786287293777 --field-trial-handle=8936,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=9864 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","1.546875","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5072","4",,"False","9/11/2024 10:13:30 AM",,"24944",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30040","30040","74043392","74043392","735208","735208","102428672","102428672","160468992","160468992","3515503169536","-2075045888","True","Idle","74043392","74043392","255","1",,"System.Diagnostics.ProcessThreadCollection","380","3515332038656","2048790528","False",,,,"125808640","125808640",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.2187500","00:00:01.5468750","00:00:01.3281250","chrome","0","","True",,
"chrome","1","443","3515335720960","110501888","95698944","30168","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=16 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1774336655129 --field-trial-handle=3000,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=3052 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","5.03125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4048","4",,"False","9/11/2024 6:54:19 AM",,"25356",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30168","30168","95698944","95698944","686880","686880","173842432","173842432","228728832","228728832","3517342715904","-235499520","True","Idle","95698944","95698944","255","1",,"System.Diagnostics.ProcessThreadCollection","443","3515335720960","2052472832","False",,,,"110501888","110501888",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.4218750","00:00:05.0312500","00:00:04.6093750","chrome","0","","True",,
"CHXSmartScreen","1","822","2238192627712","65273856","63082496","36520","C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\CHXSmartScreen.exe","""C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\CHXSmartScreen.exe"" -ServerName:App.AppXk7vvv12h4qrkhkbvf6j86ja45mzj5km9.mca",,"Microsoft Corporation","0.125","10.0.22621.2506 (WinBuild.160101.0800)","10.0.22621.2506","CHXSmartScreen.exe","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4080","8",,"False","9/11/2024 7:00:54 AM",,"21076",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","36520","36520","63082496","63082496","785816","785816","65048576","65048576","113909760","113909760","2238198743040","520781824","True","Normal","63082496","63082496","255","1",,"System.Diagnostics.ProcessThreadCollection","822","2238192627712","514666496","False",,,,"65273856","65273856",,"System.Diagnostics.ProcessModule (CHXSmartScreen.exe)","00:00:00.0468750","00:00:00.1250000","00:00:00.0781250","CHXSmartScreen","0","","True",,
"cmd","1","60","2203371401216","4038656","2035712","5064","C:\WINDOWS\system32\cmd.exe","C:\WINDOWS\system32\cmd.exe /k chcp 65001","System.Diagnostics.Process (Code)","Microsoft Corporation","0.015625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Command Processor","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4792","8",,"False","9/11/2024 10:00:44 AM",,"17024",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","5064","5064","2035712","2035712","33904","33904","4157440","4157440","4071424","4071424","2203373498368","55275520","True","Normal","2035712","2035712","255","1",,"System.Diagnostics.ProcessThreadCollection","60","2203371401216","53178368","False",,,,"4038656","4038656",,"System.Diagnostics.ProcessModule (cmd.exe)","00:00:00","00:00:00.0156250","00:00:00.0156250","cmd","0","","True",,
"Code","1","257","3418742550528","141668352","117620736","17480","C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe"" c:\Users\cdsl\.vscode\extensions\streetsidesoftware.code-spell-checker-3.0.1\packages\_server\dist\main.cjs --node-ipc --clientProcessId=10320","System.Diagnostics.Process (Code)","Microsoft Corporation","15.46875","1.93.0","1.93.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2644","8",,"False","9/11/2024 10:14:38 AM",,"2776",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17480","17480","117620736","117620736","538144","538144","273727488","273727488","288354304","288354304","3419187081216","393113600","True","Normal","117620736","117620736","255","1",,"System.Diagnostics.ProcessThreadCollection","257","3418742550528","-51417088","False",,,,"141668352","141668352",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:05.3437500","00:00:15.4687500","00:00:10.1250000","Code","0","","True",,
"Code","1","192","3418708996096","95842304","25309184","16936","C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ""c:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=10320","System.Diagnostics.Process (Code)","Microsoft Corporation","0.265625","1.93.0","1.93.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4360","8",,"False","9/11/2024 10:14:40 AM",,"5524",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16936","16936","25309184","25309184","538144","538144","30932992","30932992","99012608","99012608","3418734166016","-59801600","True","Normal","25309184","25309184","255","1",,"System.Diagnostics.ProcessThreadCollection","192","3418708996096","-84971520","False",,,,"95842304","95842304",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0312500","00:00:00.2656250","00:00:00.2343750","Code","0","","True",,
"Code","1","193","3418708996096","99770368","29032448","16936","C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ""c:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\markdown-language-features\dist\serverWorkerMain"" --node-ipc --clientProcessId=10320","System.Diagnostics.Process (Code)","Microsoft Corporation","0.21875","1.93.0","1.93.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3968","8",,"False","9/11/2024 10:15:13 AM",,"8392",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16936","16936","29032448","29032448","538144","538144","33554432","33554432","103469056","103469056","3419187081216","393113600","True","Normal","29032448","29032448","255","1",,"System.Diagnostics.ProcessThreadCollection","193","3418708996096","-84971520","False",,,,"99770368","99770368",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0312500","00:00:00.2187500","00:00:00.1875000","Code","0","","True",,
"Code","1","1113","2238777942016","201912320","209354752","30976","C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=gpu-process --user-data-dir=""C:\Users\cdsl\AppData\Roaming\Code"" --gpu-preferences=WAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAEAAAA4AAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --field-trial-handle=1760,i,13391506029756334282,225985959451337939,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=1752 /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","38.203125","1.93.0","1.93.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4976","10",,"False","9/11/2024 8:08:38 AM",,"9840",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30976","30976","209354752","209354752","1127392","1127392","273948672","273948672","264278016","264278016","2238799433728","1121472512","True","AboveNormal","209354752","209354752","255","1",,"System.Diagnostics.ProcessThreadCollection","1113","2238777942016","1099980800","False",,,,"201912320","201912320",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:08","00:00:38.2031250","00:00:30.2031250","Code","0","","True",,
"Code","1","552","3421156405248","234516480","201760768","33776","C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=renderer --user-data-dir=""C:\Users\cdsl\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\resources\app"" --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration, --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=22 --time-ticks-at-unix-epoch=-1724256122801195 --launch-time-ticks=1785504083277 --field-trial-handle=5772,i,13391506029756334282,225985959451337939,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=4108 --vscode-window-config=vscode:b29bff84-721b-475c-868d-6bf84203f79d /prefetch:1","System.Diagnostics.Process (Code)","Microsoft Corporation","16.8125","1.93.0","1.93.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4196","4",,"False","9/11/2024 10:00:26 AM",,"9972",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","33776","33776","201760768","201760768","762744","762744","558907392","558907392","599961600","599961600","3423409696768","320761856","True","Idle","201760768","201760768","255","1",,"System.Diagnostics.ProcessThreadCollection","552","3421156405248","-1932529664","False",,,,"234516480","234516480",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:01.3125000","00:00:16.8125000","00:00:15.5000000","Code","0","","True",,
"Code","1","356","3418805403648","430456832","391217152","26544","C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --user-data-dir=""C:\Users\cdsl\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=3176,i,13391506029756334282,225985959451337939,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=3172 /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","21.046875","1.93.0","1.93.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4444","8",,"False","9/11/2024 10:14:36 AM",,"10320",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26544","26544","391217152","391217152","586808","586808","593833984","593833984","631902208","631902208","3418864316416","70348800","True","Normal","391217152","391217152","255","1",,"System.Diagnostics.ProcessThreadCollection","356","3418805403648","11436032","False",,,,"430456832","430456832",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:03.5000000","00:00:21.0468750","00:00:17.5468750","Code","0","","True",,
"Code","1","241","3418812375040","103583744","65499136","20544","C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\cdsl\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=5788,i,13391506029756334282,225985959451337939,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=5848 /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","0.328125","1.93.0","1.93.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4688","8",,"False","9/11/2024 10:00:27 AM",,"11224",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","20544","20544","65499136","65499136","563392","563392","76713984","76713984","110137344","110137344","3418837540864","43573248","True","Normal","65499136","65499136","255","1",,"System.Diagnostics.ProcessThreadCollection","241","3418812375040","18407424","False",,,,"103583744","103583744",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.1250000","00:00:00.3281250","00:00:00.2031250","Code","0","","True",,
"Code","1","289","2238038224896","28389376","14913536","12552","C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=crashpad-handler --user-data-dir=C:\Users\cdsl\AppData\Roaming\Code /prefetch:4 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\cdsl\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=a4e3233c-699c-46ec-b4f4-9c2a77254662&uid=ebdb0fb6-a53a-42f4-9abc-c9e85ecf131d&iid=ebdb0fb6-a53a-42f4-9abc-c9e85ecf131d&sid=ebdb0fb6-a53a-42f4-9abc-c9e85ecf131d --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.93.0 --annotation=plat=Win64 --annotation=prod=Electron --annotation=ver=30.4.0 --initial-client-data=0x464,0x468,0x46c,0x460,0x470,0x7ff65c01ce18,0x7ff65c01ce24,0x7ff65c01ce30","System.Diagnostics.Process (Code)","Microsoft Corporation","0","1.93.0","1.93.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4620","8",,"False","9/11/2024 8:08:38 AM",,"11468",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12552","12552","14913536","14913536","533440","533440","14995456","14995456","29003776","29003776","2238063185920","385224704","True","Normal","14913536","14913536","255","1",,"System.Diagnostics.ProcessThreadCollection","289","2238038224896","360263680","False",,,,"28389376","28389376",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00","00:00:00","00:00:00","Code","0","","True",,
"Code","1","192","3418708996096","95870976","25296896","16872","C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ""c:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=18056","System.Diagnostics.Process (Code)","Microsoft Corporation","0.28125","1.93.0","1.93.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4068","8",,"False","9/11/2024 10:00:31 AM",,"14728",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16872","16872","25296896","25296896","546336","546336","29499392","29499392","98631680","98631680","3419178692608","384724992","True","Normal","25296896","25296896","255","1",,"System.Diagnostics.ProcessThreadCollection","192","3418708996096","-84971520","False",,,,"95870976","95870976",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0312500","00:00:00.2812500","00:00:00.2500000","Code","0","","True",,
"Code","1","241","3418812350464","103874560","65765376","20544","C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\cdsl\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\cdsl\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=4112,i,13391506029756334282,225985959451337939,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=4856 /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","0.3125","1.93.0","1.93.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3764","8",,"False","9/11/2024 10:14:36 AM",,"15948",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","20544","20544","65765376","65765376","559296","559296","76951552","76951552","109780992","109780992","3418837516288","43548672","True","Normal","65765376","65765376","255","1",,"System.Diagnostics.ProcessThreadCollection","241","3418812350464","18382848","False",,,,"103874560","103874560",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0937500","00:00:00.3125000","00:00:00.2187500","Code","0","","True",,
