"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"chrome","1","326","3515286884352","68435968","31772672","26160","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=29 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1774365853725 --field-trial-handle=6400,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=6332 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","2.078125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2136","4",,"False","9/11/2024 6:54:48 AM",,"2156",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26160","26160","31772672","31772672","632456","632456","34938880","34938880","71847936","71847936","3515295272960","2012024832","True","Idle","31772672","31772672","255","1",,"System.Diagnostics.ProcessThreadCollection","326","3515286884352","2003636224","False",,,,"68435968","68435968",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.3281250","00:00:02.0781250","00:00:01.7500000","chrome","0","","True",,
"chrome","1","440","3513364873216","171995136","110780416","30064","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=139 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1786148621093 --field-trial-handle=6504,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=9480 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","10.328125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4488","4",,"False","9/11/2024 10:11:11 AM",,"7008",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30064","30064","110780416","110780416","700320","700320","188870656","188870656","260722688","260722688","3513448427520","165179392","True","Idle","110780416","110780416","255","1",,"System.Diagnostics.ProcessThreadCollection","440","3513364873216","81625088","False",,,,"171995136","171995136",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.4843750","00:00:10.3281250","00:00:09.8437500","chrome","0","","True",,
"chrome","1","228","2306922541056","21114880","12156928","16040","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --no-subproc-heap-profiling --field-trial-handle=2324,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=2340 /prefetch:13","System.Diagnostics.Process (chrome)","Google LLC","0.5625","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3964","8",,"False","9/11/2024 6:54:12 AM",,"8048",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16040","16040","12156928","12156928","606504","606504","27598848","27598848","33017856","33017856","2306956488704","559050752","True","Normal","12156928","12156928","255","1",,"System.Diagnostics.ProcessThreadCollection","228","2306922541056","525103104","False",,,,"21114880","21114880",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.2187500","00:00:00.5625000","00:00:00.3437500","chrome","0","","True",,
"chrome","1","286","3513326759936","56893440","33517568","22512","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --extension-process --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1774332688817 --field-trial-handle=4928,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=4916 /prefetch:9","System.Diagnostics.Process (chrome)","Google LLC","0.359375","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4564","8",,"False","9/11/2024 6:54:15 AM",,"10156",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22512","22512","33517568","33517568","629752","629752","34369536","34369536","57815040","57815040","3513706348544","423100416","True","Normal","33517568","33517568","255","1",,"System.Diagnostics.ProcessThreadCollection","286","3513326759936","43511808","False",,,,"56893440","56893440",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0625000","00:00:00.3593750","00:00:00.2968750","chrome","0","","True",,
"chrome","1","284","2306920398848","21069824","8253440","18904","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=audio --video-capture-use-gpu-memory-buffer --no-subproc-heap-profiling --field-trial-handle=6252,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=6652 /prefetch:12","System.Diagnostics.Process (chrome)","Google LLC","9.390625","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2572","8",,"False","9/11/2024 6:54:55 AM",,"10672",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","18904","18904","8253440","8253440","659216","659216","8417280","8417280","22700032","22700032","2306970755072","573317120","True","Normal","8253440","8253440","255","1",,"System.Diagnostics.ProcessThreadCollection","284","2306920398848","522960896","False",,,,"21069824","21069824",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:02.4062500","00:00:09.3906250","00:00:06.9843750","chrome","0","","True",,
"chrome","1","2186","2308016025600","236113920","295747584","47280","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=gpu-process --no-subproc-heap-profiling --gpu-preferences=UAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --field-trial-handle=1988,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=1952 /prefetch:2","System.Diagnostics.Process (chrome)","Google LLC","73.03125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4712","10",,"False","9/11/2024 6:54:12 AM",,"12260",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","47280","47280","295747584","295747584","1586328","1586328","498524160","498524160","525709312","525709312","2308047605760","1650167808","True","AboveNormal","295747584","295747584","255","1",,"System.Diagnostics.ProcessThreadCollection","2186","2308016025600","1618587648","False",,,,"236113920","236113920",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:13.2812500","00:01:13.0312500","00:00:59.7500000","chrome","0","","True",,
"chrome","1","543","3513323839488","78622720","44269568","24480","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=41 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1774379047821 --field-trial-handle=7176,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=6148 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","2.015625","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2128","4",,"False","9/11/2024 6:55:01 AM",,"14868",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","24480","24480","44269568","44269568","636336","636336","47357952","47357952","82268160","82268160","3513341779968","58531840","True","Idle","44269568","44269568","255","1",,"System.Diagnostics.ProcessThreadCollection","543","3513323839488","40591360","False",,,,"78622720","78622720",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.2031250","00:00:02.0156250","00:00:01.8125000","chrome","0","","True",,
"chrome","1","551","3515451195392","529903616","481116160","41272","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=24 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1774364322259 --field-trial-handle=5392,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=6028 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","243.84375","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","732","8",,"False","9/11/2024 6:54:47 AM",,"15544",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","41272","41272","481116160","481116160","859168","859168","498114560","498114560","538628096","538628096","3517302767616","-275447808","True","Normal","481116160","481116160","255","1",,"System.Diagnostics.ProcessThreadCollection","551","3515451195392","-2127020032","False",,,,"529903616","529903616",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:09.7031250","00:04:03.8437500","00:03:54.1406250","chrome","0","","True",,
"chrome","1","430","3515398684672","306098176","340791296","44312","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=71 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1776069583255 --field-trial-handle=7252,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=6196 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","71.765625","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4396","4",,"False","9/11/2024 7:23:12 AM",,"15596",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","44312","44312","340791296","340791296","777600","777600","583606272","583606272","634388480","634388480","3515448414208","-2129801216","True","Idle","340791296","340791296","255","1",,"System.Diagnostics.ProcessThreadCollection","430","3515398684672","2115436544","False",,,,"306098176","306098176",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:01.7031250","00:01:11.7656250","00:01:10.0625000","chrome","0","","True",,
"chrome","1","292","3513321316352","47857664","21901312","22648","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=150 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1786490257830 --field-trial-handle=7372,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=8228 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.15625","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4520","4",,"False","9/11/2024 10:16:53 AM",,"17456",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22648","22648","21901312","21901312","652112","652112","23080960","23080960","48119808","48119808","3513338093568","54845440","True","Idle","21901312","21901312","255","1",,"System.Diagnostics.ProcessThreadCollection","292","3513321316352","38068224","False",,,,"47857664","47857664",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.1093750","00:00:00.1562500","00:00:00.0468750","chrome","0","","True",,
